label,file,obj0,obj1,obj2,obj3,total_production,avg_daily_production,avg_daily_active,material_shortage,excess_machines,penalty_score
pareto51,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto51.xlsx,-161235.60288000002,0.05498540344824751,0.07661289364919475,0.2727389085904852,161235.60288000002,5201.148480000001,7.387096774193548,0.0,0.0,4020043.0
pareto52,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto52.xlsx,-161281.09216,0.04518656763773696,0.10887095413306623,0.3306763995463071,161281.09216,5202.615876129033,7.129032258064516,0.0,0.0,6160043.0
pareto53,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto53.xlsx,-164798.27104,0.0526539981371356,0.08064515120967869,0.3034310514677735,164798.27104,5316.073259354838,7.354838709677419,0.0,0.0,4600091.6
pareto54,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto54.xlsx,-161235.60288000002,0.05498540344824751,0.07661289364919475,0.2727389085904852,161235.60288000002,5201.148480000001,7.387096774193548,0.0,0.0,4020043.0
pareto55,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto55.xlsx,-164798.27104,0.0526539981371356,0.08064515120967869,0.3034310514677735,164798.27104,5316.073259354838,7.354838709677419,0.0,0.0,4600091.6
pareto56,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto56.xlsx,-164579.381888,0.0903563610412683,0.06451612096774295,0.30889270609866315,164579.381888,5309.012318967742,7.483870967741935,0.0,0.0,3780044.0
pareto57,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto57.xlsx,-158153.328,0.07345313638473937,0.08467740877016261,0.23259495191186952,158153.328,5101.720258064516,7.32258064516129,0.0,0.0,4930042.0
pareto58,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto58.xlsx,-161281.09216,0.04518656763773696,0.10887095413306623,0.3306763995463071,161281.09216,5202.615876129033,7.129032258064516,0.0,0.0,6160043.0
pareto59,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto59.xlsx,-160960.27999999997,0.05694557386806019,0.08870966633064656,0.2551303936741933,160960.27999999997,5192.267096774193,7.290322580645161,0.0,0.0,5010058.0
pareto60,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_174906\pareto60.xlsx,-163612.152,0.03801145647799623,0.12096772681451803,0.29939632721170245,163612.152,5277.81135483871,7.032258064516129,0.0,0.0,6208000.0
